Jurisdiction of Compiled,Type,Region,Year,StateYear,Prison Population,Incarceration Rate,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,State Politics,"Offending rate, 14-17","Offending rate, 14-24",Unemployment Rate,Poverty Rate,Abortion rate,State Governor,FIPS,Jurisdiction of state_short_new,Private Prison Share,Abortion Leagal,Red_Blue,State,Median_income,per_white_alone,per_black,Conservative,Moderate,Liberal,VeryReligious,Per_noHS,Per_poverty,REGION,DIVISION,POPESTIMATE2013
Alabama,Overall,3,1978,Alabama1978,5625,144,3742000,15682,499,954,3708,10521,131707,46001,74387,11319,419.1,13.3,25.5,99.1,281.2,3519.7,1229.3,1987.9,302.5,Democrat,15,28.3,0.064,,19.3,,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,1979,Alabama1979,5464,141,3769000,15578,496,1037,4127,9918,144372,48517,83791,12064,413.3,13.2,27.5,109.5,263.1,3830.5,1287.3,2223.2,320.1,Democrat,17,17.1,0.072,,20.7,,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,1980,Alabama1980,6543,163,3861466,17320,509,1158,5102,10551,173191,58952,102029,12210,448.5,13.2,30,132.1,273.2,4485.1,1526.7,2642.2,316.2,Democrat,9,7.8,0.089,0.212,22.8,,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,1981,Alabama1981,7657,184,3916000,18423,465,1021,4952,11985,173411,56811,105471,11129,470.5,11.9,26.1,126.5,306.1,4428.3,1450.7,2693.3,284.2,Democrat,10.7,28.7,0.106,0.241,22.1,,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,1982,Alabama1982,9233,219,3943000,17653,417,1026,4417,11793,165048,49531,104740,10777,447.7,10.6,26,112,299.1,4185.8,1256.2,2656.4,273.3,Democrat,36.1,37,0.141,0.216,22.1,,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,1983,Alabama1983,9856,245,3959000,16471,364,931,3895,11281,145890,42485,94279,9126,416,9.2,23.5,98.4,284.9,3685,1073.1,2381.4,230.5,Democrat,6.2,23.6,0.138,0.23,,,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,1984,Alabama1984,10482,259,3990000,17204,374,1002,3833,11995,138487,39970,89198,9319,431.2,9.4,25.1,96.1,300.6,3470.9,1001.8,2235.5,233.6,Democrat,17.1,22.2,0.11,0.191,20.3,,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,1985,Alabama1985,11015,271,4021000,18398,396,1079,4237,12686,140115,41612,88108,10395,457.5,9.8,26.8,105.4,315.5,3484.6,1034.9,2191.2,258.5,Democrat,3.3,17.8,0.092,0.206,20.5,,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,1986,Alabama1986,11710,288,4053000,22616,409,1150,4523,16534,151191,46974,93396,10821,558,10.1,28.4,111.6,407.9,3730.3,1159,2304.4,267,Democrat,6.2,11.5,0.097,0.238,,,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,1987,Alabama1987,12827,314,4083000,22833,380,1137,4581,16735,158918,48927,99260,10731,559.2,9.3,27.8,112.2,409.9,3892.2,1198.3,2431.1,262.8,Democrat,7.8,17.9,0.081,0.213,21.8,,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
