Year,st,State,Share of Total Wealth Earned by Richest 10%,Share of Total Wealth Earned by Richest 5%,Share of Total Wealth Earned by Richest 1%,Share of Total Wealth Earned by Richest 0.5%,Share of Total Wealth Earned by Richest 0.1%,Share of Total Wealth Earned by Richest 0.01%,Average Income,Total Income,Adjusted Gross Income,Consumer Price Index 2014
1917,0,United States,40.50765745,30.64153929,17.7371481,14.34259003,8.401536971,3.365203017,1044.724231,42193265.25,13652383.21,16.9433874
1918,0,United States,40.10704545,29.4933927,15.96147266,12.42951801,6.716482246,2.454227078,1159.728783,46912265.56,15924639.36,14.42629881
1919,0,United States,40.31563788,30.16769917,16.41077833,12.63829306,6.629717376,2.28652971,1321.186671,54237824.29,19859491.45,12.56034896
1920,0,United States,39.01411364,28.32401964,14.82981937,11.14299479,5.357224888,1.662898156,1364.856885,57199787.19,23735629.18,10.84376794
1921,0,United States,43.18105666,30.80412423,15.63791588,11.69809971,5.601952704,1.688397429,1064.909958,45615625.6,19577212.53,12.1385462
1922,0,United States,43.72147766,31.94498479,17.05762842,13.05780349,6.635449184,2.27416074,1139.103339,49599872.93,21336212.53,12.96067881
1923,0,United States,41.46125058,29.77685499,15.64249309,11.90786314,5.906410568,1.997966723,1290.632391,57315111.37,24840137.36,12.73240854
1924,0,United States,44.40704275,32.11207578,17.42308027,13.40065275,6.787022228,2.324950204,1287.084684,58413664.34,25656153.45,12.70754055
1925,0,United States,46.35407692,35.00952318,20.24450485,15.86065113,8.523904173,3.310848483,1370.251279,63292017.53,21894576.4,12.39287764
1926,0,United States,45.71043577,34.61378599,19.90905139,15.54775263,8.459004755,3.364017631,1382.499853,64894565.86,21958505.65,12.2759637
1927,0,United States,46.66845611,35.69102834,21.02503388,16.59692253,9.253941801,3.754214017,1379.08371,65813859.37,22545090.55,12.51203993
1928,0,United States,49.2887116,38.56368292,23.94024951,19.39901174,11.54089958,5.024515311,1432.217707,69383714.51,25226326.91,12.68276952
1929,0,United States,46.7095879,36.4830313,22.35288358,18.06649882,10.91368498,4.990263606,1476.812904,72489048.82,23775605.19,12.68276952
1930,0,United States,43.86545498,32.06307862,17.22327314,13.20420806,7.074256008,2.844552269,1242.490593,61813907.02,16579182.55,13.01252152
1931,0,United States,44.54320001,31.23086702,15.49845876,11.56577861,5.893396823,2.249901388,1012.912381,51113245.98,13603059.25,14.26811571
1932,0,United States,46.37021178,32.66812331,15.55593005,11.62300661,5.969509093,1.989468476,758.5998383,38777613.79,11654275.76,15.90772802
1933,0,United States,45.60181443,33.18673042,16.46008735,12.46465948,6.608866887,2.34426193,710.4277527,36769636.52,11007496.42,16.7687133
1934,0,United States,45.78354197,33.7134768,16.39698907,12.29505718,6.129114649,2.073243352,801.6441223,42030151.75,12796389.22,16.22508918
1935,0,United States,44.49398271,32.28476884,16.67628516,12.63413383,6.392287606,2.187947927,898.6648849,47761430.61,14909430.67,15.83031816
1936,0,United States,46.59377509,34.6387187,19.28824418,14.85826503,7.565232554,2.536917821,1011.87246,54483577.52,19239823.01,15.67773678
1937,0,United States,44.23141176,32.26870475,17.1493416,13.02364849,6.494461166,2.174382143,1073.440279,58544471.61,21238265.65,15.13083898
1938,0,United States,44.07483757,31.34471545,15.75492318,11.7758783,5.883863075,2.194512158,973.4120204,53870774.52,18306773.39,15.41767953
1939,0,United States,45.51788564,32.27871325,16.17545742,12.05776443,5.871631612,1.963441145,1019.427933,57272849.49,22654591.59,15.64004991
1940,0,United States,45.29313243,32.22224124,16.47807373,12.33331904,6.005176619,2.04361374,1076.387538,61477874.21,35998334.03,15.49109705
1941,0,United States,41.93033956,29.99193294,15.78556702,11.86189059,5.806500985,1.977178314,1321.316752,75833651.1,58235194.5,14.75342576
1942,0,United States,36.12786267,25.80295476,13.42866832,10.06676677,4.811592976,1.545771435,1690.640036,97611172.35,78391130.6,13.33250156
1943,0,United States,33.68990211,24.08259845,12.30947427,9.147828056,4.262872922,1.235124813,2088.306908,121642866.8,99209861,12.56034896
1944,0,United States,32.51253099,22.76510219,11.28093434,8.257493933,3.75560858,1.164237084,2099.804444,123166557.2,116714736,12.34584585
1945,0,United States,34.42331044,24.79458273,12.51579109,9.138062881,4.159181105,1.263391467,2142.561216,126405446.6,120301131,12.07098472
1946,0,United States,36.69955123,26.7653864,13.27705253,9.612431985,4.391740339,1.472837423,2367.141778,140365222.6,134330006,11.12181327
1947,0,United States,34.34788064,24.6782759,11.9550552,8.613660927,3.918210576,1.303516209,2571.252713,154579747.2,150295275,9.725352409
1948,0,United States,35.01350833,25.05521839,12.24260002,8.90030587,4.055142815,1.305499233,2813.654123,171141822.1,164173861,9.02394003
1949,0,United States,34.75099624,24.50541025,11.72696008,8.476161782,3.831369556,1.24250014,2732.460768,168146514.2,161373205,9.112410031
1950,0,United States,35.56336696,25.53344318,12.81953504,9.369931199,4.390447002,1.219786157,3015.619193,188313356.1,179874478,9.02394003
1951,0,United States,34.21755149,24.20097042,11.78710514,8.529064159,3.89040595,1.281069761,3343.0445,210812019.2,203097033,8.362803036
1952,0,United States,33.21150903,23.06904312,10.79087599,7.736370062,3.428168641,1.088469279,3503.996165,223148947.8,216087449,8.183975801
1953,0,United States,32.30695106,22.01304887,9.901885035,7.022241673,3.055154923,0.96675603,3669.1648,235828782.1,229863409,8.122672612
1954,0,United States,33.63611059,23.2976818,10.7735618,7.712841946,3.490931101,1.168748434,3682.348094,239088342.2,230235855,8.082311505
1955,0,United States,33.93779843,23.59609181,11.05754552,7.962412221,3.714968747,1.316538725,3955.304753,259426263.3,248530317,8.112544591
1956,0,United States,33.46213977,23.12690363,10.67208171,7.704072991,3.486309477,1.197606099,4204.224448,278560191.8,267724268,7.992949339
1957,0,United States,32.9885897,22.60448321,10.16096951,7.228950353,3.183312234,1.052867315,4337.722129,290399413.7,280320566,7.717984296
1958,0,United States,33.56153551,22.92667813,10.20574545,7.268264655,3.218449357,1.081463755,4343.922567,293414656.2,281154092,7.513003189
1959,0,United States,34.00362603,23.38980587,10.64744461,7.715741785,3.44980974,1.194124938,4683.87891,319177530,305094979,7.461367429
1960,0,United States,33.47509602,22.57431227,10.03457996,7.129255273,3.249045588,1.17492397,4783.668485,328547135.2,315466382,7.335330817
1961,0,United States,34.25477281,23.5013668,10.64065615,7.65634119,3.651281808,1.382292922,4948.625348,346390301.9,329861284,7.26173218
1962,0,United States,33.70090508,22.8058861,9.949906248,7.055675573,3.194277824,1.16074018,5113.088848,364330527.4,348701466,7.189595767
1963,0,United States,33.78481288,22.84387927,9.916510296,6.997779219,3.145902281,1.146299844,5322.755316,385710648.4,368778072,7.095614123
1964,0,United States,34.4231592,23.50124081,10.47910353,7.385258521,3.372471376,1.302166105,5680.961267,418457460.7,396659831,7.004057812
1965,0,United States,34.78102413,23.87638776,10.89191275,7.725039729,3.655143666,1.489351462,6054.325579,452695627.2,429201239,6.892882291
1966,0,United States,33.6720187,22.92003553,10.17525681,7.218910057,3.385286985,1.289879087,6473.418839,490886916.2,468450579,6.701413339
1967,0,United States,34.44456453,23.70219886,10.73754191,7.674820228,3.677005501,1.416347806,6914.316938,531405170.2,504719476,6.500772221
1968,0,United States,34.84716973,24.15088445,11.21283857,8.139010156,4.022860584,1.614928554,7520.238492,585267715.9,554336953,6.239246901
1969,0,United States,33.92931832,23.08400385,10.35149728,7.445799259,3.693696281,1.55817026,7923.036654,624278880.8,603601615,5.916234119
1970,0,United States,32.62718792,21.66277663,9.025286494,6.25103545,2.77534472,0.996275134,8251.581,659499359.8,631625918,5.596025571
1971,0,United States,33.33695721,22.25759675,9.399056117,6.563718068,2.987735567,1.113711799,8673.326013,709905516.3,673677080,5.361130671
1972,0,United States,33.58593695,22.5184949,9.637708345,6.780077951,3.125833783,1.178157409,9388.08469,785496627.2,746006325,5.194396942
1973,0,United States,33.33270311,22.21362321,9.162462345,6.303849806,2.760085623,0.941395735,10128.74452,865418519.1,827148338,4.890220544
1974,0,United States,33.30872128,22.11784522,9.122429217,6.306857675,2.728232938,0.878854229,10798.17982,941900731.3,896182659,4.404174283
1975,0,United States,33.43291544,21.98127553,8.872672603,6.067900878,2.564512544,0.846581427,11155.61136,994271374.4,947784873,4.035795393
1976,0,United States,33.41361332,21.97455655,8.860885139,6.068898183,2.594744522,0.859939348,12147.8567,1106043590,1053895687,3.815919019
1977,0,United States,33.58335445,22.12440071,9.025117885,6.217061285,2.707932313,0.92362942,13078.34717,1217277902,1158492225,3.582933864
1978,0,United States,33.48607457,22.03597455,8.950521312,6.161281492,2.647967003,0.856376443,14339.3482,1365290011,1302447386,3.330150187
